Subject,Title,Instructor(s),Learning Product,Level,Duration,Gained Skills,Rate,Reviews,Data_Source
Business,The Shopify Sales Funnel via ClickFunnels,Nathan Williams,Course,Not specified,2.5 hours,E-Commerce Sales Funnel,4.9,51,Public Dataset
Personal Development,NLP - Advanced - Personal Growth Mastery,Lokesh Kumar Lakhotia - NetEdu Academy,Course,Not specified,5.5 hours,Influence Neuro-Linguistic Programming,5.0,1,Public Dataset
IT & Software,Google Associate Cloud Engineer (GCP) Test Sets,Md Rahaman,Course,Not specified,0.0 hours,Network & Security Google Cloud Associate Cloud Engineer,0.0,0,Public Dataset
Teaching & Academics,Safari Academy 101 for Kids - Animals of South Africa (2021),Vincent Coetzee,Course,Not specified,1.5 hours,Social Science Geography,5.0,2,Public Dataset
Business,Complete Legal English for Students and Legal Professionals,Ralph Dzegniuk,Course,Not specified,1.0 hours,Business Law Unknown,4.2,51,Public Dataset
Business,Airbnb Automations : Get rid of repetitive tasks!,Pavel N. | Business | Innovation | Video,Course,Not specified,3.0 hours,Real Estate Airbnb Hosting,4.9,104,Public Dataset
Development,ETL Testing: From Beginner to Expert,Sid Inf,Course,Not specified,19.0 hours,Database Design & Development ETL,4.2,1617,Public Dataset
Music,Practical Counterpoint Music Theory,Victoria Williams LmusTCL BA(Mus),Course,Not specified,2.5 hours,Music Fundamentals Music Theory,4.4,142,Public Dataset
Design,Creating Baby Yoda_Part 2_Texturing Rending,Leou von,Course,Not specified,7.0 hours,3D & Animation Maya,5.0,1,Public Dataset
Marketing,Build a Professional Wordpress Website on Shoestring Budget,Ryan York,Course,Not specified,5.5 hours,Digital Marketing Web Development,5.0,2,Public Dataset
Marketing,What is Online and/or Digital Marketing,Olivier Mamet,Course,Not specified,0.65 hours,Digital Marketing Internet Marketing,4.3,1048,Public Dataset
Business,Managing Statistical Process Control using Excel Tools,Adam Aizad Ahmad,Course,Not specified,2.0 hours,Operations Statistics,4.6,2,Public Dataset
Teaching & Academics,From Zero to NVivo 11 - Qualitative data analysis with NVivo,Dr Jaroslaw Kriukow,Course,Not specified,3.0 hours,Social Science NVivo,4.7,538,Public Dataset
Teaching & Academics,Electrical Engineering Simulations with Etap,Hossein Tootoonchy,Course,Not specified,3.5 hours,Engineering ETAP,4.1,701,Public Dataset
Teaching & Academics,Patwah Lessons With Nina,Karlene Levy,Course,Not specified,1.0 hours,Language Learning Learning a Foreign Language,5.0,2,Public Dataset
Health & Fitness,Harness the Power of Habits,Kristie Taulman,Course,Not specified,1.5 hours,General Health Goal Achievement,5.0,1,Public Dataset
Music,Singing: Musical Theatre Vocal Skills,Eve Williams MMus,Course,Not specified,2.5 hours,Vocal Singing,4.5,63,Public Dataset
Marketing,VIDEO MARKETING MASTERY,Bhawandeep Sharma,Course,Not specified,1.5 hours,Video & Mobile Marketing Video Marketing,0.0,0,Public Dataset
Lifestyle,AirBnb : AirBnb Hacks for Maximizing Profits for Your Pad,Brian Cliette,Course,Not specified,1.5 hours,Travel Airbnb Hosting,3.1,27,Public Dataset
Teaching & Academics,Discrete Math: Set theory,Dilan Gohil,Course,Not specified,0.6333333333333333 hours,Math Discrete Math,4.6,8,Public Dataset
Health & Fitness,Meditation Teacher Certification for a New Career or Hobby,Debra Wilder,Course,Not specified,4.0 hours,Meditation Unknown,5.0,2,Public Dataset
IT & Software,"High-Level Synthesis for FPGA, Part 2 - Sequential Circuits",Mohammad Hosseinbady,Course,Not specified,9.5 hours,Hardware FPGA,4.8,16,Public Dataset
Business,How To Speak Confidently On Camera For Beginners,Health and Wellbeing TV Business,Course,Not specified,3.0 hours,Communication Presentation Skills,0.0,0,Public Dataset
Lifestyle,Chess: From Beginner to Advanced at Warp Speed,Greg Vanderford,Course,Not specified,3.5 hours,Gaming Chess,3.7,754,Public Dataset
Personal Development,How Successful Coaches Grow,LeRon Barnes,Course,Not specified,0.65 hours,Influence Growth Mindset,5.0,10,Public Dataset
Health & Fitness,Anti-Ageing with a Scientist,Oksana Mytiai,Course,Not specified,0.5333333333333333 hours,Nutrition Anti-Aging,0.0,0,Public Dataset
Teaching & Academics,Getting a 7 in IB Maths Exploration Coursework,Andrew Chambers,Course,Not specified,2.5 hours,Math Unknown,5.0,1,Public Dataset
Finance & Accounting,Emerging Technology Trends and their Implications for Audit,Sean Titley,Course,Not specified,1.0 hours,Other Finance & Accounting Internal Auditing,0.0,0,Public Dataset
Marketing,Mobile App Marketing 2021: App Store Optimization ( ASO ),Oak Academy,Course,Not specified,1.5 hours,Video & Mobile Marketing App Marketing,4.8,13,Public Dataset
Information Technology,AWS Certified Solutions Architect Associate Course,"BackSpace Academy, Paul Coady",Course,Intermediate,Not specified,"AWS, Cloud Architecture, Cloud Computing",4.3,25364,Curated
Personal Development,ReBoot - 21 Spiritual Hypnosis Meditations (Guided),Harrish Sairaman,Course,Not specified,1.0 hours,Personal Transformation Meditation,5.0,1,Public Dataset
Business,LinkedIn for B2B Sales and Leads,Richard Morgan,Course,Not specified,3.0 hours,Sales LinkedIn,0.0,0,Public Dataset
Office Productivity,SAP BW 7.4 S4HANA | ECC Extraction | SAP Business Warehouse,Rohit Redhu,Course,Not specified,9.5 hours,SAP SAP Certified Application Associate - SAP BW/4HANA,5.0,1,Public Dataset
Personal Development,Buddhism: Ancient Strategies for Modern Life,Greg Vanderford,Course,Not specified,2.0 hours,Religion & Spirituality Buddhism,4.2,137,Public Dataset
Finance & Accounting,Canadian Securities Course (CSC) PART 1 FULL Crash Course,Adam Aizad Ahmad,Course,Not specified,8.0 hours,Finance Cert & Exam Prep Canadian Securities Course (CSC),5.0,1,Public Dataset
Personal Development,Personal Branding – Easy & Powerful Hacks to Brand Yourself,Tivian Academy,Course,Not specified,1.5 hours,Personal Brand Building Personal Branding,4.8,2,Public Dataset
Design,Hydrocarbon Energy Sources and their CO2 and Climate Impact,Kuldeep Varma,Course,Not specified,1.0 hours,Other Design Climate Change,0.0,0,Public Dataset
Teaching & Academics,Explaining the Core Theories of Econometrics,nkaizu lectures,Course,Not specified,4.0 hours,Social Science Econometrics,4.4,627,Public Dataset
Health & Fitness,The Interplay of Elements,Tatiana Stantcheva,Course,Not specified,3.0 hours,Other Health & Fitness Energy Psychology (EP),4.6,3,Public Dataset
Lifestyle,Raw Feeding Diploma & How To Make Home Made Treats,Nicole Agius,Course,Not specified,0.6666666666666666 hours,Pet Care & Training Pet Care,0.0,0,Public Dataset
Development,Wix for Absolute Beginners,Filip Delac,Course,Not specified,2.5 hours,No-Code Development Wix,4.7,26,Public Dataset
Health & Fitness,Dynamic Meditation,"Tyron Bowes, B.Msc.",Course,Not specified,2.5 hours,Meditation Unknown,0.0,0,Public Dataset
Personal Development,Learning a foreign language: Tips and Tricks,Laura Mois,Course,Not specified,0.5 hours,Memory & Study Skills Learning a Foreign Language,5.0,1,Public Dataset
IT & Software,Digital number systems: 1's and 0's on computers,Susana Ezquerra Díaz,Course,Not specified,3.5 hours,Hardware Computer Skills,5.0,2,Public Dataset
Lifestyle,Embodied Law Of Attraction,Shannon White,Course,Not specified,1.0 hours,Esoteric Practices Law of Attraction,0.0,0,Public Dataset
Design,Intro to Interior Design Course,Mohammad Ala Tahhan,Course,Not specified,9.5 hours,Interior Design Unknown,4.3,1211,Public Dataset
Business,The Complete Prospecting Master Course for Sales,Stevenson Brooks,Course,Not specified,3.0 hours,Sales Lead Generation,5.0,3,Public Dataset
Design,Beginner's Jumpstart Guide to Afinity Publisher,Dawid Tuminski,Course,Not specified,1.5 hours,Design Tools Affinity Publisher,0.0,0,Public Dataset
Lifestyle,Surviving the Next Snowpocalypse,Chris B Behrens,Course,Not specified,2.0 hours,Home Improvement Survival Skills,0.0,0,Public Dataset
Teaching & Academics,The 1x Behavior Analyst (1.5 Ethics CEUs),Blake Crosby,Course,Not specified,1.5 hours,Social Science Ethics,4.9,4,Public Dataset
IT & Software,Tally ERP 9 + TallyPrime Training,Himanshu Dhar,Course,Not specified,8.5 hours,Other IT & Software Tally.ERP,4.3,462,Public Dataset
Personal Development,Conscious Childhood Trauma Healing,Eric Yeboah,Course,Not specified,2.0 hours,Happiness Childhood Trauma Healing,5.0,3,Public Dataset
Finance & Accounting,Advanced Stock Trading Strategies ( Master class training),"Satyendra Singh (NCFM and NSIM Certified) Technical, Fundamental, options , Portfolio &  Research analyst",Course,Not specified,18.0 hours,Investing & Trading Stock Trading,5.0,1,Public Dataset
Finance & Accounting,Complete Course on Goods and Service Tax in India,LetsTute Make it Easy,Course,Not specified,3.0 hours,Finance Cert & Exam Prep Tax Preparation,4.6,11,Public Dataset
Development,DP-900 Azure Data Fundamentals 100% Original Practice Exam,Scott Duffy  • 550.000+ Students,Course,Not specified,0.0 hours,Database Design & Development Microsoft Certification,0.0,0,Public Dataset
Development,Introduction to AWS Glue for Developers,Vaga Notes,Course,Not specified,2.0 hours,Software Engineering AWS Glue,4.4,13,Public Dataset
Photography & Video,Canon EOS 700D / REBEL T5i Camera User Guide,Adrian Salisbury,Course,Not specified,1.0 hours,Digital Photography Cameras,4.8,66,Public Dataset
Business,Apache Superset for Data Engineers (Hands On),Bigdata Engineer,Course,Not specified,3.0 hours,Business Analytics & Intelligence Business Intelligence,2.5,1,Public Dataset
Development,App Development MADE EASY : A Glide Apps Course in Glideapps,Akanbi Adedamola,Course,Not specified,1.5 hours,No-Code Development App Development,5.0,1,Public Dataset
Development,Guide to Understand Generics with Examples in Tamil,Arun Ammasai,Course,Not specified,2.5 hours,Programming Languages Java,4.7,2,Public Dataset
Teaching & Academics,Indian Polity & Governance,The Saviour Academy,Course,Not specified,5.5 hours,Humanities Political Science,5.0,3,Public Dataset
Design,User Experience Design - How to design website and full APP,Zakaria Zaki,Course,Not specified,6.0 hours,User Experience Design Unknown,4.6,34,Public Dataset
Health & Fitness,Geriatric Massage Fundamentals,Irene Meiller,Course,Not specified,1.5 hours,Other Health & Fitness Massage,4.8,172,Public Dataset
Personal Development,Intelligence quotient IQ Test Questions and Answers,SMARTER ACADEMY,Course,Not specified,0.0 hours,Creativity Test Taking Skills,3.8,15,Public Dataset
Lifestyle,Money Down Under,Satwant Phull,Course,Not specified,5.5 hours,Travel Personal Finance,0.0,0,Public Dataset
Music,"Learn How To Freestyle Rap, Rap Like A Pro, And Write Lyrics",Pat Parra,Course,Not specified,3.5 hours,Vocal Rapping,5.0,304,Public Dataset
IT & Software,SAP S/4HANA Training - in Plain English,Siva Prasad,Course,Not specified,7.0 hours,Other IT & Software SAP HANA,4.5,5046,Public Dataset
IT & Software,Docker for the Absolute Beginner - Hands On - DevOps,Mumshad Mannambeth,Course,Not specified,4.5 hours,Other IT & Software Docker,4.6,26009,Public Dataset
Office Productivity,Microsoft Project Fundamental Skills,Office Skills,Course,Not specified,2.0 hours,Microsoft Microsoft Project,5.0,1,Public Dataset
Development,Easy Wordpress course: build your first Wordpress website!,Uri Brilliant,Course,Not specified,2.5 hours,No-Code Development WordPress,4.6,90,Public Dataset
Teaching & Academics,Counselling Skills Certificate Course (Beginner to Advanced),Kain Ramsay,Course,Not specified,43.5 hours,Social Science Counseling,4.6,4939,Public Dataset
Photography & Video,Smartphone Food Photography : Practical Guide,Foodior Class,Course,Not specified,4.5 hours,Commercial Photography Food Photography,4.2,41,Public Dataset
Teaching & Academics,The Complete TOEFL iBT Success Course (NEW VERSION),Maria Guryeva,Course,Not specified,10.0 hours,Test Prep TOEFL,4.5,5781,Public Dataset
Personal Development,The Mystical Teachings of Sufism,Kevser Yeşiltaş,Course,Not specified,5.0 hours,Religion & Spirituality Teaching Online,5.0,1,Public Dataset
Business,HR 101: Compliance Made Easy  -  U.S. Employers Must Have,Donna Galatas,Course,Not specified,3.0 hours,Human Resources Compliance (HR),4.5,1050,Public Dataset
Personal Development,Creative Thinking Genius Vol. 1:  Unleash Your Creativity,Ken Wells,Course,Not specified,1.5 hours,Creativity Unknown,4.6,218,Public Dataset
Marketing,Your Realistic Guide to Freelance Blogging,Patrick Icasas,Course,Not specified,1.0 hours,Content Marketing Freelance Writing,4.8,15,Public Dataset
Marketing,The Perfect Intro To Lead Generation Using Solo Ads,Mike DeVincent,Course,Not specified,5.5 hours,Growth Hacking Lead Generation,4.7,83,Public Dataset
Teaching & Academics,Math Olympiad for Class 6-Problem Solving Approach,Vinuthan S,Course,Not specified,6.5 hours,Math Unknown,5.0,5,Public Dataset
Office Productivity,SAP  Functional Spec Writing- Custom Sales Report,SanthaRam Sivalenka,Course,Not specified,0.0 hours,SAP SAP SD,4.0,6,Public Dataset
Teaching & Academics,The Fundamentals of Cognitive Behavior Therapy,Jason Grossman,Course,Not specified,2.5 hours,Other Teaching & Academics CBT,0.0,0,Public Dataset
Teaching & Academics,HVAC Fundamentals and BMS Controls,Mike Lo,Course,Not specified,5.5 hours,Engineering HVAC,4.2,470,Public Dataset
IT & Software,Windows: Everything about NTFS & Share Permissions,Ladan Amirchoupani,Course,Not specified,3.0 hours,Operating Systems & Servers Windows Server,4.8,4,Public Dataset
Marketing,Ultimate Web Copywriting Course: Be a Web Copywriting Pro,Alpha Academy,Course,Not specified,3.0 hours,Other Marketing Copywriting,3.6,12,Public Dataset
Music,Piano For Guitarists: music theory to learn on guitar FAST,Luigi Pati,Course,Not specified,1.0 hours,Music Techniques Piano,5.0,1,Public Dataset
IT & Software,Cryptography and Squid Proxy Server,Pownraj A,Course,Not specified,13.0 hours,Network & Security Cryptography,0.0,0,Public Dataset
Music,Learn How To Play Lo-Fi Guitar,Max Mason,Course,Not specified,0.6833333333333333 hours,Instruments Guitar,0.0,0,Public Dataset
Health & Fitness,Carb Cycling For Weight Loss (with E-book),Rob Bal,Course,Not specified,1.0 hours,Dieting Unknown,0.0,0,Public Dataset
Data Science,"Master Data Analysis: Python, Stats, Gen AI, EDA, AWS, SQL, Excel, Power BI, Tableau, ETL, Snowflake & Feature Engineering","Krish Naik, Jayant Topnani, KRISHAI Technologies",Course,All Levels,89 hours,"Data Analysis, Python Programming, SQL, Power BI, Tableau, Feature Engineering",4.5,21339,Curated
Business,Meetings Excellence - Virtual and In Person,Stephen R Warner,Course,Not specified,1.5 hours,Other Business Meetings,0.0,0,Public Dataset
Office Productivity,Excel Magic 7: Creating Excel Charts like a PRO,"Lenny Wu, MBA, CPA, CGA",Course,Not specified,1.5 hours,Microsoft Excel,0.0,0,Public Dataset
Personal Development,Professional English pronunciation for VIETNAMESE accents,Alison Kimble,Course,Not specified,16.5 hours,Career Development English Pronunciation,0.0,0,Public Dataset
Design,Learn Figma For Absolute Beginners 2021,Shaher Yar Hamid,Course,Not specified,2.0 hours,User Experience Design Figma,4.4,33,Public Dataset
Personal Development,Neuroplasticity: How To Rewire Your Brain,Gregory Caremans - Brain Academy,Course,Not specified,4.0 hours,Motivation Neuroplasticity,4.6,12790,Public Dataset
Finance & Accounting,Options Trading Strategies-from Rookie to Pro (In an HOUR),Partha Deshpande,Course,Not specified,1.0 hours,Finance Cert & Exam Prep Options Trading,4.4,4,Public Dataset
Design,Beginners Guide to Wireframes - A Mini Course,Siddharth Srinivasan,Course,Not specified,1.5 hours,Web Design Wireframing,4.4,555,Public Dataset
Teaching & Academics,Camtasia Mastery 8 - Creating Killer Videos w/ Camtasia 8,Ron Hogue,Course,Not specified,7.0 hours,Teacher Training Camtasia,4.5,326,Public Dataset
Lifestyle,Everyday English Idioms,Joe Madrid,Course,Not specified,0.7166666666666667 hours,Other Lifestyle English Conversation,5.0,1,Public Dataset
Photography & Video,Noise in Digital Photography,phil hawkins,Course,Not specified,0.5833333333333334 hours,Photography Unknown,0.0,0,Public Dataset
Teaching & Academics,The Complete Train the Trainer Bootcamp (Part 1): All Levels,Jason Teteak,Course,Not specified,5.0 hours,Teacher Training Train the Trainer,4.5,869,Public Dataset
Personal Development,100% Official Certified CBT Practitioner - IGCBT™ Certified,Matthew Barnett,Course,Not specified,17.5 hours,Personal Transformation CBT,4.7,1557,Public Dataset
Marketing,"Marketing 101: How To Be Seen, Get Heard, & Make An Impact!",Derek Franklin,Course,Not specified,0.7333333333333333 hours,Marketing Fundamentals Marketing Strategy,4.5,133,Public Dataset
Development,Learning Apache Hadoop EcoSystem- Hive,Balaji M,Course,Not specified,4.5 hours,Database Design & Development Apache Hive,3.8,1699,Public Dataset
Development,SQL for Beginners: Learn SQL using MySQL and Database Design,Tim Buchalka's Learn Programming Academy,Course,Not specified,8.0 hours,Database Design & Development SQL,4.5,13847,Public Dataset
Computer Science,The Complete JavaScript Course 2026: From Zero to Expert!,Jonas Schmedtmann,Course,All Levels,68.5 hours,"JavaScript, DOM Manipulation, Asynchronous Programming, ES2024/ES2025",4.7,235683,Curated
Music,Pianoforall - 'Classics By Ear' - Erik Satie,Robin Hall,Course,Not specified,4.0 hours,Instruments Piano,4.9,988,Public Dataset
Personal Development,Professional Life Coach Certification & Guide (Accredited),Joeel & Natalie Rivera,Course,Not specified,13.0 hours,Personal Transformation Life Coach Training,4.6,11636,Public Dataset
Music,Classical Music Class: Composers Robert and Clara Schumann,Dr. Nurit Jugend,Course,Not specified,2.5 hours,Other Music Music Appreciation,4.5,9,Public Dataset
Health & Fitness,First Aid: Basic Life Support - Adult,Jomar Rodriguez,Course,Not specified,1.5 hours,General Health First Aid,5.0,6,Public Dataset
Teaching & Academics,Learn Italian Language: Complete Italian Course - Beginners,AbcEdu Online,Course,Not specified,8.0 hours,Language Learning Italian Language,4.3,3485,Public Dataset
Health & Fitness,Become a Professional Football (Soccer) Coach,Vladimir Kartashov,Course,Not specified,2.5 hours,Sports Soccer,4.5,65,Public Dataset
Office Productivity,"Microsoft Excel - Data Visualization, Excel Charts & Graphs",Maven Analytics,Course,Not specified,4.5 hours,Microsoft Excel,4.6,23250,Public Dataset
Business,Corporate and Business Law,Rowan Malherbe,Course,Not specified,14.0 hours,Business Law Law,3.8,170,Public Dataset
Marketing,Press Release Writing & Press Release Promotion For Traffic,Alex Genadinik,Course,Not specified,1.0 hours,Public Relations Unknown,4.0,33,Public Dataset
Data Science,"Data Science, Machine Learning, Deep Learning and NLP: Theory, Practice and Math with End-to-End Projects","Krish Naik, KRISHAI Technologies",Course,All Levels,101.5 hours,"Data Science, Machine Learning, Deep Learning, Natural Language Processing",4.5,27202,Curated
Photography & Video,Light and Airy vs. Dark and Moody Food Photography,Daniela Lambova,Course,Not specified,0.5833333333333334 hours,Photography Tools Photography Lighting,3.7,6,Public Dataset
Information Technology,"Build AI Agents & Automate Workflows with n8n, Zapier & OpenAI",Logix Academy,Course,Beginner,4.5 hours,"AI Agents, Workflow Automation, RAG, No-Code Development",4.6,119,Curated
Development,"Advanced Html,Css,Jade(pug),Materializecss Course",Yoel fisher,Course,Not specified,3.5 hours,Web Development Unknown,5.0,1,Public Dataset
Teaching & Academics,Level 2 Intelligence Analyst Certification,Robert Folker,Course,Not specified,1.0 hours,Social Science Critical Thinking,4.5,1718,Public Dataset
Design,Learn STAAD PRO RCDC Advance with real life project,Olokunola Olanrewaju,Course,Not specified,1.5 hours,Architectural Design Structural Engineering,4.0,6,Public Dataset
Design,The complete AutoCAD course from zero to advanced,Ahmad Asha,Course,Not specified,6.0 hours,Architectural Design AutoCAD,4.5,57,Public Dataset
Office Productivity,Business Automation with VBA: Working with Files,Mor Sagmon,Course,Not specified,4.0 hours,Microsoft Excel VBA,5.0,1,Public Dataset
Photography & Video,Photography Marketing & Business: Boost Sales and Income 101,Ustin Kompaniets,Course,Not specified,1.5 hours,Commercial Photography Photography Business,3.2,133,Public Dataset
Health & Fitness,Become a Safe and Efficient Dive Explorer,Chongmin Han,Course,Not specified,5.0 hours,Sports Scuba Diving,4.3,70,Public Dataset
Development,Interview Preparation in selenium Automation testing profile,Anoop Singh,Course,Not specified,0.0 hours,Software Testing Selenium Testing Framework,0.0,0,Public Dataset
Personal Development,The Complete Guide to Earning Money in Reputation Management,Jim Mack,Course,Not specified,0.7333333333333333 hours,Personal Brand Building Reputation Management,3.8,38,Public Dataset
Music,Turbocharge your voice..the 14 day adventure,Adrienne Thomas,Course,Not specified,3.0 hours,Vocal Voice Training,4.0,1,Public Dataset
Lifestyle,How to Travel the world for FREE (or almost Free),Claudia Disabato,Course,Not specified,0.6 hours,Travel Travel Tips,5.0,3,Public Dataset
Business,Business Fundamentals: Corporate Strategy,365 Careers,Course,Not specified,3.0 hours,Business Strategy Unknown,4.5,6492,Public Dataset
Health & Fitness,School Lunch Boxes,Ksenia Muryshkina,Course,Not specified,1.0 hours,Nutrition Unknown,5.0,3,Public Dataset
Design,The beginner guide to creating a stunning WordPress website,Creatives Academy,Course,Not specified,2.0 hours,Web Design WordPress,5.0,1,Public Dataset
Photography & Video,VIDEO EDITING. Techniques loved by pro broadcast filmmakers,Andrew St.Pierre White,Course,Not specified,3.5 hours,Video Design Video Editing,4.9,971,Public Dataset
Personal Development,"Awakenings, a course in Spiritual Awakening",Ivy Ellerby,Course,Not specified,2.0 hours,Religion & Spirituality Spirituality,5.0,1,Public Dataset
Photography & Video,Real Estate Photography Masterclass,Steven Ungermann,Course,Not specified,1.5 hours,Digital Photography Real Estate Photography,4.6,305,Public Dataset
Marketing,Customer Journey Mapping: practical step-by-step workshop,Giovanna Toldi,Course,Not specified,2.0 hours,Marketing Fundamentals Customer Journey Mapping,3.9,7,Public Dataset
Business,Supply Chain Operations Metrics and KPI's,Operational Excellence Training,Course,Not specified,1.5 hours,Operations Supply Chain,4.4,741,Public Dataset
Lifestyle,Vastu-For Land Identification,Sebastain Joseph,Course,Not specified,1.0 hours,Home Improvement Vastu Shastra,4.5,1,Public Dataset
Personal Development,Transformational Health & Success for Business Professionals,Patricia (Tish) Conlin,Course,Not specified,2.0 hours,Leadership Emotional Intelligence,5.0,2,Public Dataset
Business,Probability and Statistics - Practice Tests and Solutions,Sandeep Kumar ­,Course,Not specified,7.5 hours,Business Analytics & Intelligence Probability,4.8,76,Public Dataset
Personal Development,Soulmate Dating,Kelliena Where the Guardians Speak,Course,Not specified,0.5666666666666667 hours,Happiness Dating,4.9,4,Public Dataset
Business,Create an Inspiring Writing Environment in Scrivener,Leisa Eining,Course,Not specified,0.5166666666666667 hours,Media Scrivener,4.7,2,Public Dataset
Design,Product Design Fundamentals for Inventors and Entrepreneurs,Tristan Tom,Course,Not specified,1.5 hours,Design Thinking Product Design,4.0,24,Public Dataset
Business,The Complete eBay Course - eBay From Beginner To Advanced,Dave Espino,Course,Not specified,4.5 hours,E-Commerce eBay Selling,4.6,2165,Public Dataset
Design,UI-UX Adobe XD Masterclass: App designing guide to earning,Utsav Soi,Course,Not specified,0.5333333333333333 hours,User Experience Design Adobe XD,3.9,225,Public Dataset
Business,Growing Microgreens for Business and Pleasure,Alex Field,Course,Not specified,1.5 hours,Entrepreneurship Farming,4.5,2133,Public Dataset
Teaching & Academics,The Successful Scholar,Tracy Atkinson,Course,Not specified,3.0 hours,Humanities Study Skills,5.0,1,Public Dataset
Office Productivity,"C_TSCM62_67 | SAP (SD) Sales and Distribution, ERP 6.0 EhP7",Rohit Redhu,Course,Not specified,0.0 hours,SAP SAP Certified Application Associate - SAP ERP,5.0,4,Public Dataset
Marketing,SEO Audit Beginner to Pro,Sabraiz Khan,Course,Not specified,2.5 hours,Search Engine Optimization SEO Audit,4.2,71,Public Dataset
Teaching & Academics,Russian for complete beginners,Anastasia Burak,Course,Not specified,1.0 hours,Language Learning Russian Language,5.0,2,Public Dataset
Business,"Build a Digital Marketing Agency Business with Social Media (SMMA), ChatGPT, Facebook Ads, Instagram, WordPress, SEO","Robin & Jesper, Expert Built",Course,All Levels,94.5 hours,"Digital Marketing Strategy, Social Media Marketing, Facebook Ads, ChatGPT, WordPress, SEO",4.6,5897,Curated
Finance & Accounting,Forex Trading Price Action: Advanced Swing Trading Strategy,Federico Sellitti,Course,Not specified,4.0 hours,Investing & Trading Swing Trading,4.5,1618,Public Dataset
Lifestyle,"Marveled By Mexico, Travel Tribe Culture Series",Kelsey Betzelberger,Course,Not specified,0.5333333333333333 hours,Travel History,3.0,1,Public Dataset
Design,How to design and publish your first ebook,Anthony Coe,Course,Not specified,8.0 hours,User Experience Design eBook Creation,4.7,10,Public Dataset
Marketing,2021 New Google Ads (AdWords) Course - From Beginner to PRO,Simon Koss,Course,Not specified,7.5 hours,Advertising Google Ads (Adwords),4.4,1720,Public Dataset
Marketing,Google Ads MasterClass 2021 - All Campaign Builds & Features,Tanmoy Kumar Das,Course,Not specified,10.0 hours,Digital Marketing Google Ads (Adwords),4.7,3,Public Dataset
Finance & Accounting,Digital Banking - Masterclass,Rían Chapman,Course,Not specified,2.0 hours,Finance Banking,4.4,963,Public Dataset
Development,Build an e-learning platform using WIX with no coding,Mokhtari Amine,Course,Not specified,3.5 hours,No-Code Development Web Development,5.0,6,Public Dataset
Health & Fitness,Thai hermit exercise or Ruesi Datton.,Chalearmchanok​ Paypim​,Course,Not specified,1.0 hours,General Health Yoga,5.0,4,Public Dataset
Lifestyle,Fundamentals of Exploitative Online Poker,"Alton Hardin | 100,000+ Enrollments Worldwide",Course,Not specified,9.0 hours,Gaming Poker,4.2,91,Public Dataset
Health & Fitness,Taijutsu Fundamentals,Adam Mitchell,Course,Not specified,7.0 hours,Self Defense Taijutsu,4.6,150,Public Dataset
Personal Development,Transform doubt & confusion into self-confidence & clarity,Upwemove Academy,Course,Not specified,1.0 hours,Self Esteem & Confidence Self-Esteem,5.0,1,Public Dataset
Business,Become A Diesel Generator Engineer- In just 5.5 Hours !,George Gajinder Singh,Course,Not specified,5.5 hours,Industry Manufacturing,4.4,3,Public Dataset
Development,Flutter PHP and MySql - Build Online Quiz with Admin Panel,Power Render,Course,Not specified,11.0 hours,Mobile Development Google Flutter,5.0,1,Public Dataset
Finance & Accounting,Ultimate Guide to Stock Market Passive Income,Jalpan Dave,Course,Not specified,2.0 hours,Other Finance & Accounting Passive Income,4.4,104,Public Dataset
Health & Fitness,Pain Relief through Meditation,John Hesnan,Course,Not specified,1.0 hours,Meditation Unknown,4.1,135,Public Dataset
Teaching & Academics,Letter Writing 101,HowExpert,Course,Not specified,2.5 hours,Other Teaching & Academics Writing,5.0,1,Public Dataset
Personal Development,"Self WORTH, Confidence & Hierarchy of SELF",Creating Ease Academy,Course,Not specified,1.5 hours,Self Esteem & Confidence Confidence,0.0,0,Public Dataset
Office Productivity,PowerPivot with DAX - Part1/2,ajay parmar,Course,Not specified,9.0 hours,Microsoft Power Pivot,0.0,0,Public Dataset
Development,"Complete React Developer in 2021 (w/ Redux, Hooks, GraphQL)",Andrei Neagoie,Course,Not specified,39.5 hours,Web Development React,4.6,15336,Public Dataset
Personal Development,Finding Your Personal Power,Luke Newton,Course,Not specified,0.5 hours,Personal Transformation Personal Development,0.0,0,Public Dataset
IT & Software,Offensive Cyber Operations,Tarek Abdelmotaleb,Course,Not specified,6.5 hours,Network & Security Exploit Development,5.0,2,Public Dataset
Health & Fitness,Taoist Stress Reduction - QiGong Meditation,Sarina Stone,Course,Not specified,0.3666666666666666 hours,Meditation Unknown,4.2,208,Public Dataset
Design,Niche Website Elementor WordPress Website blog tutorials,Muhammad Ismail,Course,Not specified,1.5 hours,Web Design Niche Website,4.6,20,Public Dataset
Health & Fitness,Lose Weight Diet Free Virtual Gastric Band for 2021,Alan Kirwan,Course,Not specified,2.0 hours,Dieting Weight Loss,4.3,87,Public Dataset
Lifestyle,Learn to obtain Freedom Empowerment and Mastery of your life,Coach Hall,Course,Not specified,7.5 hours,Esoteric Practices Personal Productivity,0.0,0,Public Dataset
Teaching & Academics,2021 Mastering Energy and Power System Optimization in GAMS,Optimization Team,Course,Not specified,5.5 hours,Engineering Electrical Engineering,4.2,500,Public Dataset
Health & Fitness,"First Aid; Emergency Care; Coronavirus, COVID 19 Course","Crystal Hutchinson Tummala, J.D.",Course,Not specified,2.0 hours,Safety & First Aid First Aid,4.2,55,Public Dataset
